family	rank	member	role	resource	assembler	priority	expected_bytes	md5	url	relpath
3_HG00733	3	HG00731	father	HGSVC3	verkko	essential	721458133	5fb662302dc27fbf708e6e0ca95d1993	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00731.vrk-ps-sseq/HG00731.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz	data/3_HG00733/HG00731/HG00731.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz
3_HG00733	3	HG00732	mother	HGSVC3	verkko	essential	711794945	f66b9e7790c8812ccb33c5f2aaca11b4	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00732.vrk-ps-sseq/HG00732.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz	data/3_HG00733/HG00732/HG00732.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz
3_HG00733	3	HG00732	mother	HGSVC3	verkko	essential	750616426	3a9b6af7bf5be9161f72b2ad33bbdc03	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00732.vrk-ps-sseq/HG00732.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz	data/3_HG00733/HG00732/HG00732.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz
3_HG00733	3	HG00733	child	HGSVC3	verkko	essential	751482690	73cc5435a53f747655597a5cf4aedfdb	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00733.vrk-ps-sseq/HG00733.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz	data/3_HG00733/HG00733/HG00733.vrk-ps-sseq.asm-hap1.phase3-pub.fasta.gz
3_HG00733	3	HG00733	child	HGSVC3	verkko	essential	752266583	75141b0afdb872fcb0ea1a141e6eb1c5	https://ftp.1000genomes.ebi.ac.uk/vol1/ftp/data_collections/HGSVC3/working/20241218_phase3-main-pub_data/hhu/assembly_data/assemblies/HG00733.vrk-ps-sseq/HG00733.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz	data/3_HG00733/HG00733/HG00733.vrk-ps-sseq.asm-hap2.phase3-pub.fasta.gz
4_HG03371	4	HG03370	father	LRSC500	shasta_hapdup	essential	2977358209		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG03370/HG03370_hapdup_phased_1.fasta	data/4_HG03371/HG03370/HG03370_hapdup_phased_1.fasta
4_HG03371	4	HG03370	father	LRSC500	shasta_hapdup	essential	2977216671		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG03370/HG03370_hapdup_phased_2.fasta	data/4_HG03371/HG03370/HG03370_hapdup_phased_2.fasta
4_HG03371	4	HG03369	mother	LRSC500	shasta_hapdup	essential	2928255913		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG03369/HG03369_hapdup_phased_1.fasta	data/4_HG03371/HG03369/HG03369_hapdup_phased_1.fasta
4_HG03371	4	HG03369	mother	LRSC500	shasta_hapdup	essential	2928572379		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG03369/HG03369_hapdup_phased_2.fasta	data/4_HG03371/HG03369/HG03369_hapdup_phased_2.fasta
4_HG03371	4	HG03371	child	LRSC500	shasta_hapdup	essential	2965561511		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG03371/HG03371_hapdup_phased_1.fasta	data/4_HG03371/HG03371/HG03371_hapdup_phased_1.fasta
4_HG03371	4	HG03371	child	LRSC500	shasta_hapdup	essential	2965747647		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG03371/HG03371_hapdup_phased_2.fasta	data/4_HG03371/HG03371/HG03371_hapdup_phased_2.fasta
5_HG00706	5	HG00704	father	LRSC500	hifiasm_r10	essential	3056750639		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/R10_HIFIASM/HG00704.ONT.R10.LSK114.dorado081_sup_5mCG_5hmCG_v500.unaligned/HG00704.ONT.R10.LSK114.dorado081_sup_5mCG_5hmCG_v500.unaligned_asm_1.fa	data/5_HG00706/HG00704/HG00704_asm_1.fa
5_HG00706	5	HG00704	father	LRSC500	hifiasm_r10	essential	2917106560		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/R10_HIFIASM/HG00704.ONT.R10.LSK114.dorado081_sup_5mCG_5hmCG_v500.unaligned/HG00704.ONT.R10.LSK114.dorado081_sup_5mCG_5hmCG_v500.unaligned_asm_2.fa	data/5_HG00706/HG00704/HG00704_asm_2.fa
5_HG00706	5	HG00705	mother	LRSC500	shasta_hapdup	essential	2934737380		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG00705/HG00705-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg.hapdup_phased_1.fasta	data/5_HG00706/HG00705/HG00705_hapdup_phased_1.fasta
5_HG00706	5	HG00705	mother	LRSC500	shasta_hapdup	essential	2934648113		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG00705/HG00705-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg.hapdup_phased_2.fasta	data/5_HG00706/HG00705/HG00705_hapdup_phased_2.fasta
5_HG00706	5	HG00706	child	LRSC500	shasta_hapdup	essential	2945331710		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG00706/HG00706-ONT-hg38-R9-LSK110-guppy-sup-5mC.hapdup_phased_1.fasta	data/5_HG00706/HG00706/HG00706_hapdup_phased_1.fasta
5_HG00706	5	HG00706	child	LRSC500	shasta_hapdup	essential	2944678801		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG00706/HG00706-ONT-hg38-R9-LSK110-guppy-sup-5mC.hapdup_phased_2.fasta	data/5_HG00706/HG00706/HG00706_hapdup_phased_2.fasta
6_HG02024	6	HG02026	father	LRSC500	hifiasm_r10	essential	3079995145		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/R10_HIFIASM/HG02026.ONT.R10.LSK114.dorado090_sup_5mCG_5hmCG_v500.unmapped/HG02026.ONT.R10.LSK114.dorado090_sup_5mCG_5hmCG_v500.unmapped_asm_1.fa	data/6_HG02024/HG02026/HG02026_asm_1.fa
6_HG02024	6	HG02026	father	LRSC500	hifiasm_r10	essential	2885850625		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/R10_HIFIASM/HG02026.ONT.R10.LSK114.dorado090_sup_5mCG_5hmCG_v500.unmapped/HG02026.ONT.R10.LSK114.dorado090_sup_5mCG_5hmCG_v500.unmapped_asm_2.fa	data/6_HG02024/HG02026/HG02026_asm_2.fa
6_HG02024	6	HG02025	mother	LRSC500	hifiasm_r10	essential	3040547949		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/R10_HIFIASM/HG02025.ONT.R10.LSK114.dorado090_sup_5mCG_5hmCG_v500.unmapped/HG02025.ONT.R10.LSK114.dorado090_sup_5mCG_5hmCG_v500.unmapped_asm_1.fa	data/6_HG02024/HG02025/HG02025_asm_1.fa
6_HG02024	6	HG02025	mother	LRSC500	hifiasm_r10	essential	3018512837		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/R10_HIFIASM/HG02025.ONT.R10.LSK114.dorado090_sup_5mCG_5hmCG_v500.unmapped/HG02025.ONT.R10.LSK114.dorado090_sup_5mCG_5hmCG_v500.unmapped_asm_2.fa	data/6_HG02024/HG02025/HG02025_asm_2.fa
6_HG02024	6	HG02024	child	LRSC500	hifiasm_r10	essential	3033310713		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/R10_HIFIASM/HG02024.ONT.R10.LSK114.dorado090_sup_5mCG_5hmCG_v500.unmapped/HG02024.ONT.R10.LSK114.dorado090_sup_5mCG_5hmCG_v500.unmapped_asm_1.fa	data/6_HG02024/HG02024/HG02024_asm_1.fa
6_HG02024	6	HG02024	child	LRSC500	hifiasm_r10	essential	3015343425		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/R10_HIFIASM/HG02024.ONT.R10.LSK114.dorado090_sup_5mCG_5hmCG_v500.unmapped/HG02024.ONT.R10.LSK114.dorado090_sup_5mCG_5hmCG_v500.unmapped_asm_2.fa	data/6_HG02024/HG02024/HG02024_asm_2.fa
7_HG02615	7	HG02613	father	LRSC500	shasta_hapdup	essential	2947271092		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG02613/HG02613_hapdup_phased_1.fasta	data/7_HG02615/HG02613/HG02613_hapdup_phased_1.fasta
7_HG02615	7	HG02613	father	LRSC500	shasta_hapdup	essential	2947393798		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG02613/HG02613_hapdup_phased_2.fasta	data/7_HG02615/HG02613/HG02613_hapdup_phased_2.fasta
7_HG02615	7	HG02614	mother	LRSC500	shasta_hapdup	essential	2953641292		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG02614/HG02614-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg.hapdup_phased_1.fasta	data/7_HG02615/HG02614/HG02614_hapdup_phased_1.fasta
7_HG02615	7	HG02614	mother	LRSC500	shasta_hapdup	essential	2953611055		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG02614/HG02614-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg.hapdup_phased_2.fasta	data/7_HG02615/HG02614/HG02614_hapdup_phased_2.fasta
7_HG02615	7	HG02615	child	LRSC500	shasta_hapdup	essential	2938121622		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG02615/HG02615-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg.hapdup_phased_1.fasta	data/7_HG02615/HG02615/HG02615_hapdup_phased_1.fasta
7_HG02615	7	HG02615	child	LRSC500	shasta_hapdup	essential	2937744610		https://s3.amazonaws.com/1000g-ont/PROCESSED_DATA/ASSEMBLIES/NAPU_PIPELINE_FASTAS/HG02615/HG02615-ONT-hg38-R9-LSK110-guppy-sup-5hmc_5mc_cg.hapdup_phased_2.fasta	data/7_HG02615/HG02615/HG02615_hapdup_phased_2.fasta
pp_200080	pp	200080	father	Platinum	hifiasm	essential	800449066		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200080/hifiasm/0.19.5/K1463_200080_1.fasta.gz	data/pp_200080/200080/K1463_200080_1.fasta.gz
pp_200080	pp	200080	father	Platinum	hifiasm	essential	778724234		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200080/hifiasm/0.19.5/K1463_200080_2.fasta.gz	data/pp_200080/200080/K1463_200080_2.fasta.gz
pp_200081	pp	200081	child	Platinum	hifiasm	essential	3056882259		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200081/hifiasm/0.19.5/200081.hifiasm.dip.hap1.p_ctg.gfa.fasta	data/pp_200081/200081/200081.hifiasm.dip.hap1.p_ctg.gfa.fasta
pp_200081	pp	200081	child	Platinum	hifiasm	essential	3058388460		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200081/hifiasm/0.19.5/200081.hifiasm.dip.hap2.p_ctg.gfa.fasta	data/pp_200081/200081/200081.hifiasm.dip.hap2.p_ctg.gfa.fasta
pp_200082	pp	200082	child	Platinum	hifiasm	essential	3068654825		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200082/hifiasm/0.19.5/200082.hifiasm.dip.hap1.p_ctg.gfa.fasta	data/pp_200082/200082/200082.hifiasm.dip.hap1.p_ctg.gfa.fasta
pp_200082	pp	200082	child	Platinum	hifiasm	essential	3074189288		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200082/hifiasm/0.19.5/200082.hifiasm.dip.hap2.p_ctg.gfa.fasta	data/pp_200082/200082/200082.hifiasm.dip.hap2.p_ctg.gfa.fasta
pp_200084	pp	200084	child	Platinum	hifiasm	essential	2952221504		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200084/hifiasm/0.19.5/200084.hifiasm.dip.hap1.p_ctg.gfa.fasta	data/pp_200084/200084/200084.hifiasm.dip.hap1.p_ctg.gfa.fasta
pp_200084	pp	200084	child	Platinum	hifiasm	essential	3067198986		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200084/hifiasm/0.19.5/200084.hifiasm.dip.hap2.p_ctg.gfa.fasta	data/pp_200084/200084/200084.hifiasm.dip.hap2.p_ctg.gfa.fasta
pp_200085	pp	200085	child	Platinum	hifiasm	essential	2968459113		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200085/hifiasm/0.19.5/200085.hifiasm.dip.hap1.p_ctg.gfa.fasta	data/pp_200085/200085/200085.hifiasm.dip.hap1.p_ctg.gfa.fasta
pp_200085	pp	200085	child	Platinum	hifiasm	essential	3066719026		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200085/hifiasm/0.19.5/200085.hifiasm.dip.hap2.p_ctg.gfa.fasta	data/pp_200085/200085/200085.hifiasm.dip.hap2.p_ctg.gfa.fasta
pp_200086	pp	200086	child	Platinum	hifiasm	essential	3036037747		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200086/hifiasm/0.19.5/200086.hifiasm.dip.hap1.p_ctg.gfa.fasta	data/pp_200086/200086/200086.hifiasm.dip.hap1.p_ctg.gfa.fasta
pp_200086	pp	200086	child	Platinum	hifiasm	essential	3044189438		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200086/hifiasm/0.19.5/200086.hifiasm.dip.hap2.p_ctg.gfa.fasta	data/pp_200086/200086/200086.hifiasm.dip.hap2.p_ctg.gfa.fasta
pp_200087	pp	200087	child	Platinum	hifiasm	essential	2948709562		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200087/hifiasm/0.19.5/200087.hifiasm.dip.hap1.p_ctg.gfa.fasta	data/pp_200087/200087/200087.hifiasm.dip.hap1.p_ctg.gfa.fasta
pp_200087	pp	200087	child	Platinum	hifiasm	essential	3045948600		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200087/hifiasm/0.19.5/200087.hifiasm.dip.hap2.p_ctg.gfa.fasta	data/pp_200087/200087/200087.hifiasm.dip.hap2.p_ctg.gfa.fasta
pp_200100	pp	200100	mother	Platinum	hifiasm	essential	802449132		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200100/hifiasm/0.19.5/K1463_200100_1.fasta.gz	data/pp_200100/200100/K1463_200100_1.fasta.gz
pp_200100	pp	200100	mother	Platinum	hifiasm	essential	801100448		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200100/hifiasm/0.19.5/K1463_200100_2.fasta.gz	data/pp_200100/200100/K1463_200100_2.fasta.gz
pp_200101	pp	200101	child	Platinum	hifiasm	essential	2934722580		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200101/hifiasm/0.19.5/200101.hifiasm.dip.hap1.p_ctg.gfa.fasta	data/pp_200101/200101/200101.hifiasm.dip.hap1.p_ctg.gfa.fasta
pp_200101	pp	200101	child	Platinum	hifiasm	essential	3019175350		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200101/hifiasm/0.19.5/200101.hifiasm.dip.hap2.p_ctg.gfa.fasta	data/pp_200101/200101/200101.hifiasm.dip.hap2.p_ctg.gfa.fasta
pp_200102	pp	200102	child	Platinum	hifiasm	essential	2867831492		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200102/hifiasm/0.19.5/200102.hifiasm.dip.hap1.p_ctg.gfa.fasta	data/pp_200102/200102/200102.hifiasm.dip.hap1.p_ctg.gfa.fasta
pp_200102	pp	200102	child	Platinum	hifiasm	essential	2950014622		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200102/hifiasm/0.19.5/200102.hifiasm.dip.hap2.p_ctg.gfa.fasta	data/pp_200102/200102/200102.hifiasm.dip.hap2.p_ctg.gfa.fasta
pp_200104	pp	200104	child	Platinum	hifiasm	essential	3031098591		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200104/hifiasm/0.19.5/200104.hifiasm.dip.hap1.p_ctg.gfa.fasta	data/pp_200104/200104/200104.hifiasm.dip.hap1.p_ctg.gfa.fasta
pp_200104	pp	200104	child	Platinum	hifiasm	essential	3018577624		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200104/hifiasm/0.19.5/200104.hifiasm.dip.hap2.p_ctg.gfa.fasta	data/pp_200104/200104/200104.hifiasm.dip.hap2.p_ctg.gfa.fasta
pp_200106	pp	200106	child	Platinum	hifiasm	essential	3042053239		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200106/hifiasm/0.19.5/200106.hifiasm.dip.hap1.p_ctg.gfa.fasta	data/pp_200106/200106/200106.hifiasm.dip.hap1.p_ctg.gfa.fasta
pp_200106	pp	200106	child	Platinum	hifiasm	essential	3033881668		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/200106/hifiasm/0.19.5/200106.hifiasm.dip.hap2.p_ctg.gfa.fasta	data/pp_200106/200106/200106.hifiasm.dip.hap2.p_ctg.gfa.fasta
pp_NA12877	pp	NA12877	child	Platinum	verkko	essential	3022041682		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12877/verkko/1.4.1/assembly.haplotype1.fasta	data/pp_NA12877/NA12877/assembly.haplotype1.fasta
pp_NA12877	pp	NA12877	child	Platinum	verkko	essential	2923081612		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12877/verkko/1.4.1/assembly.haplotype2.fasta	data/pp_NA12877/NA12877/assembly.haplotype2.fasta
pp_NA12878	pp	NA12878	child	Platinum	verkko	essential	3014982376		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12878/verkko/1.3.1/assembly.haplotype1.fasta	data/pp_NA12878/NA12878/assembly.haplotype1.fasta
pp_NA12878	pp	NA12878	child	Platinum	verkko	essential	3021369999		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12878/verkko/1.3.1/assembly.haplotype2.fasta	data/pp_NA12878/NA12878/assembly.haplotype2.fasta
pp_NA12879	pp	NA12879	child	Platinum	verkko	essential	3006149214		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12879/verkko/1.4.1/assembly.haplotype1.fasta	data/pp_NA12879/NA12879/assembly.haplotype1.fasta
pp_NA12879	pp	NA12879	child	Platinum	verkko	essential	3015232149		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12879/verkko/1.4.1/assembly.haplotype2.fasta	data/pp_NA12879/NA12879/assembly.haplotype2.fasta
pp_NA12881	pp	NA12881	child	Platinum	verkko	essential	3018293947		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12881/verkko/1.4.1/assembly.haplotype1.fasta	data/pp_NA12881/NA12881/assembly.haplotype1.fasta
pp_NA12881	pp	NA12881	child	Platinum	verkko	essential	3009462860		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12881/verkko/1.4.1/assembly.haplotype2.fasta	data/pp_NA12881/NA12881/assembly.haplotype2.fasta
pp_NA12882	pp	NA12882	child	Platinum	verkko	essential	3013876732		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12882/verkko/1.4.1/assembly.haplotype1.fasta	data/pp_NA12882/NA12882/assembly.haplotype1.fasta
pp_NA12882	pp	NA12882	child	Platinum	verkko	essential	2910825888		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12882/verkko/1.4.1/assembly.haplotype2.fasta	data/pp_NA12882/NA12882/assembly.haplotype2.fasta
pp_NA12885	pp	NA12885	child	Platinum	verkko	essential	3015653669		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12885/verkko/1.3.1/assembly.haplotype1.fasta	data/pp_NA12885/NA12885/assembly.haplotype1.fasta
pp_NA12885	pp	NA12885	child	Platinum	verkko	essential	3023272693		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12885/verkko/1.3.1/assembly.haplotype2.fasta	data/pp_NA12885/NA12885/assembly.haplotype2.fasta
pp_NA12886	pp	NA12886	child	Platinum	verkko	essential	3017611197		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12886/verkko/1.4.1/assembly.haplotype1.fasta	data/pp_NA12886/NA12886/assembly.haplotype1.fasta
pp_NA12886	pp	NA12886	child	Platinum	verkko	essential	2927581636		https://platinum-pedigree-data.s3.amazonaws.com/assemblies/NA12886/verkko/1.4.1/assembly.haplotype2.fasta	data/pp_NA12886/NA12886/assembly.haplotype2.fasta
