priority	family_id	role	sample_id	run_accession	population	superpopulation	cram_url	cram_bytes	cram_md5	crai_url	crai_bytes	crai_md5	reference_build	metadata_source	outcome_blind
1	PR04	mother	HG00641	ERR3241729	PUR	AMR	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241729/HG00641.final.cram	14997100174	7ff863fedfd14471c326273af74cbcf4	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241729/HG00641.final.cram.crai	1297546	13bad741bd0a8cf210ce82278458cf4d	GRCh38_full_analysis_set_plus_decoy_hla	ENA_read_run_file_report_20260727	1
1	PR04	father	HG00640	ERR3241728	PUR	AMR	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241728/HG00640.final.cram	14646396923	72424fe17fc2a7dd8dab7f735f50fc7e	https://ftp.sra.ebi.ac.uk/vol1/run/ERR324/ERR3241728/HG00640.final.cram.crai	1274263	f2aef41e022e6f720996c40b83a733a0	GRCh38_full_analysis_set_plus_decoy_hla	ENA_read_run_file_report_20260727	1
